user_id,apply_date,label,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47
uid30,2021-06-25,0,1.0,5.0,0.0,1.0,4.0,9.0,0.0,0.0,0.0,5.0,8.0,4.0,0.0,1.0,4.0,7.0,9.0,3.0,5.0,1.0,0.0,7.0,4.0,1.0,1.0,0.0,5.0,7.0,5.0,4.0,4.0,5.0,6.0,4.0,0.0,6.0,0.0,0.0,6.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,6.0
uid31,2021-06-23,1,1.0,7.0,0.0,2.0,6.0,9.0,2.0,0.0,0.0,4.0,8.0,3.0,0.0,2.0,5.0,4.0,6.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,6.0,3.0,3.0,4.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,4.0,2.0,1.0,0.0,1.0,0.0,0.0
uid32,2021-06-23,0,2.0,7.0,0.0,2.0,3.0,8.0,5.0,1.0,0.0,6.0,9.0,5.0,0.0,2.0,3.0,5.0,8.0,2.0,6.0,3.0,2.0,2.0,5.0,0.0,1.0,0.0,5.0,7.0,6.0,6.0,4.0,4.0,7.0,4.0,0.0,5.0,0.0,0.0,5.0,7.0,3.0,3.0,3.0,0.0,5.0,1.0,5.0
uid33,2021-06-27,0,1.0,3.0,0.0,1.0,1.0,7.0,0.0,0.0,1.0,3.0,9.0,1.0,0.0,1.0,1.0,6.0,7.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0,5.0,3.0,3.0,6.0,5.0,7.0,5.0,0.0,6.0,0.0,0.0,5.0,7.0,0.0,0.0,5.0,0.0,6.0,6.0,8.0
uid34,2021-06-20,0,1.0,5.0,0.0,1.0,2.0,6.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,1.0,2.0,2.0,6.0,2.0,4.0,0.0,0.0,9.0,3.0,1.0,0.0,0.0,3.0,5.0,6.0,8.0,7.0,5.0,5.0,4.0,1.0,0.0,0.0,0.0,5.0,5.0,5.0,3.0,2.0,0.0,4.0,0.0,0.0
uid35,2021-07-01,0,1.0,6.0,0.0,1.0,1.0,6.0,3.0,0.0,0.0,5.0,9.0,6.0,0.0,1.0,2.0,3.0,7.0,1.0,5.0,4.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,6.0,6.0,6.0,5.0,3.0,4.0,0.0,0.0,5.0,0.0,0.0,3.0,5.0,6.0,5.0,4.0,3.0,0.0,4.0,5.0
uid36,2021-06-20,1,1.0,6.0,0.0,2.0,4.0,9.0,2.0,0.0,0.0,6.0,8.0,5.0,0.0,2.0,2.0,5.0,8.0,2.0,6.0,3.0,2.0,3.0,4.0,1.0,0.0,3.0,6.0,8.0,3.0,3.0,3.0,4.0,7.0,6.0,1.0,0.0,0.0,0.0,7.0,8.0,8.0,6.0,6.0,0.0,6.0,9.0,0.0
uid37,2021-07-01,0,0.0,4.0,0.0,0.0,1.0,8.0,3.0,0.0,1.0,5.0,8.0,2.0,0.0,0.0,1.0,4.0,7.0,1.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,6.0,5.0,4.0,6.0,1.0,6.0,1.0,0.0,7.0,0.0,0.0,5.0,0.0,5.0,6.0,5.0,0.0,1.0,0.0,7.0
uid38,2021-06-23,0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,7.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,3.0,5.0,6.0,20.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uid39,2021-06-19,0,1.0,5.0,0.0,1.0,6.0,9.0,3.0,0.0,0.0,5.0,4.0,0.0,1.0,0.0,5.0,3.0,6.0,3.0,5.0,0.0,0.0,8.0,3.0,0.0,0.0,0.0,4.0,5.0,8.0,2.0,2.0,3.0,5.0,0.0,2.0,0.0,0.0,0.0,5.0,4.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0
